entry_time,entry_price,entry_dir,exit_time,exit_price,exit_reason,entry_reason,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl
2026-01-06 19:15:00,30527.0,LONG,2026-01-07 00:00:00,30565.0,"ATR移動停利(啟動: K=2 * ATR35=73.37點, 回落: K=2 * ATR25=66.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,38.0,2.0,4.0,34.0,6800.0
2026-01-07 01:30:00,30573.0,LONG,2026-01-07 12:45:00,30515.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-58.0,2.0,4.0,-62.0,-12400.0
2026-01-08 04:45:00,30298.0,SHORT,2026-01-08 09:15:00,30412.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-114.0,2.0,4.0,-118.0,-23600.0
2026-01-08 10:00:00,30579.0,LONG,2026-01-08 15:30:00,30436.0,"ATR停損(K=3.0, ATR=10, 門檻=129.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-143.0,2.0,4.0,-147.0,-29400.0
2026-01-08 15:45:00,30504.0,LONG,2026-01-08 21:30:00,30507.0,多單止盈,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,3.0,2.0,4.0,-1.0,-200.0
2026-01-08 21:45:00,30548.0,LONG,2026-01-08 23:15:00,30447.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-101.0,2.0,4.0,-105.0,-21000.0
2026-01-09 01:30:00,30370.0,SHORT,2026-01-09 05:00:00,30452.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-82.0,2.0,4.0,-86.0,-17200.0
2026-01-09 09:15:00,30371.0,SHORT,2026-01-09 10:00:00,30177.0,"ATR移動停利(啟動: K=2 * ATR35=126.46點, 回落: K=2 * ATR25=128.24點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,194.0,2.0,4.0,190.0,38000.0
2026-01-09 10:15:00,30252.0,SHORT,2026-01-09 11:00:00,30527.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-275.0,2.0,4.0,-279.0,-55800.0
2026-01-09 12:30:00,30498.0,LONG,2026-01-09 15:45:00,30430.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-68.0,2.0,4.0,-72.0,-14400.0
2026-01-09 16:00:00,30447.0,LONG,2026-01-09 21:30:00,30494.0,"ATR移動停利(啟動: K=2 * ATR35=65.20點, 回落: K=2 * ATR25=51.28點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,47.0,2.0,4.0,43.0,8600.0
2026-01-09 21:45:00,30535.0,LONG,2026-01-12 09:15:00,30706.0,"ATR移動停利(啟動: K=2 * ATR35=93.03點, 回落: K=2 * ATR25=90.64點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,171.0,2.0,4.0,167.0,33400.0
2026-01-12 12:00:00,30716.0,LONG,2026-01-12 18:30:00,30688.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-28.0,2.0,4.0,-32.0,-6400.0
2026-01-12 21:15:00,30739.0,LONG,2026-01-13 09:30:00,31007.0,"ATR移動停利(啟動: K=2 * ATR35=100.63點, 回落: K=2 * ATR25=95.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,268.0,2.0,4.0,264.0,52800.0
2026-01-13 15:45:00,30906.0,LONG,2026-01-13 23:30:00,30924.0,"ATR移動停利(啟動: K=2 * ATR35=79.77點, 回落: K=2 * ATR25=84.80點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,18.0,2.0,4.0,14.0,2800.0
2026-01-14 00:15:00,31020.0,LONG,2026-01-14 02:00:00,30994.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-26.0,2.0,4.0,-30.0,-6000.0
2026-01-14 09:30:00,30999.0,LONG,2026-01-14 12:15:00,30996.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-3.0,2.0,4.0,-7.0,-1400.0
2026-01-14 20:15:00,30797.0,SHORT,2026-01-15 05:00:00,30807.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-10.0,2.0,4.0,-14.0,-2800.0
2026-01-15 11:15:00,30793.0,SHORT,2026-01-15 12:30:00,30867.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-74.0,2.0,4.0,-78.0,-15600.0
2026-01-15 13:45:00,30981.0,LONG,2026-01-16 03:30:00,31424.0,"ATR移動停利(啟動: K=2 * ATR35=78.57點, 回落: K=2 * ATR25=84.40點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,443.0,2.0,4.0,439.0,87800.0
2026-01-16 11:30:00,31438.0,LONG,2026-01-16 21:30:00,31447.0,"ATR移動停利(啟動: K=2 * ATR35=61.49點, 回落: K=2 * ATR25=50.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,9.0,2.0,4.0,5.0,1000.0
2026-01-16 22:45:00,31486.0,LONG,2026-01-16 23:15:00,31366.0,"ATR停損(K=3.0, ATR=10, 門檻=120.30點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-120.0,2.0,4.0,-124.0,-24800.0
2026-01-19 10:15:00,31398.0,LONG,2026-01-19 16:15:00,31594.0,"ATR移動停利(啟動: K=2 * ATR35=114.74點, 回落: K=2 * ATR25=142.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,196.0,2.0,4.0,192.0,38400.0
2026-01-19 16:30:00,31616.0,LONG,2026-01-20 02:45:00,31549.0,"ATR停損(K=3.0, ATR=10, 門檻=59.10點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-67.0,2.0,4.0,-71.0,-14200.0
2026-01-20 10:45:00,31637.0,LONG,2026-01-20 15:30:00,31516.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-121.0,2.0,4.0,-125.0,-25000.0
2026-01-20 18:00:00,31335.0,SHORT,2026-01-21 00:00:00,31495.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-160.0,2.0,4.0,-164.0,-32800.0
2026-01-21 01:45:00,31402.0,SHORT,2026-01-21 09:15:00,31371.0,"ATR移動停利(啟動: K=2 * ATR35=100.34點, 回落: K=2 * ATR25=98.64點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,31.0,2.0,4.0,27.0,5400.0
2026-01-21 12:15:00,31302.0,SHORT,2026-01-21 13:15:00,31223.0,結算日13:15開盤強平,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,79.0,2.0,4.0,75.0,15000.0
2026-01-22 09:15:00,31894.0,LONG,2026-01-22 13:30:00,31882.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-12.0,2.0,4.0,-16.0,-3200.0
2026-01-22 15:45:00,31909.0,LONG,2026-01-22 23:15:00,31985.0,"ATR移動停利(啟動: K=2 * ATR35=73.66點, 回落: K=2 * ATR25=68.48點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,76.0,2.0,4.0,72.0,14400.0
2026-01-22 23:45:00,32078.0,LONG,2026-01-23 17:15:00,32118.0,"ATR移動停利(啟動: K=2 * ATR35=117.20點, 回落: K=2 * ATR25=115.04點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,40.0,2.0,4.0,36.0,7200.0
2026-01-23 19:30:00,32140.0,LONG,2026-01-24 02:15:00,32125.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-15.0,2.0,4.0,-19.0,-3800.0
2026-01-24 02:45:00,32196.0,LONG,2026-01-26 09:15:00,32131.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-65.0,2.0,4.0,-69.0,-13800.0
2026-01-26 16:15:00,32174.0,LONG,2026-01-27 09:15:00,32286.0,"ATR移動停利(啟動: K=2 * ATR35=62.46點, 回落: K=2 * ATR25=59.84點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,112.0,2.0,4.0,108.0,21600.0
2026-01-27 10:00:00,32322.0,LONG,2026-01-27 12:15:00,32416.0,"ATR移動停利(啟動: K=2 * ATR35=85.89點, 回落: K=2 * ATR25=93.84點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,94.0,2.0,4.0,90.0,18000.0
2026-01-27 12:30:00,32478.0,LONG,2026-01-27 22:45:00,32547.0,"ATR移動停利(啟動: K=2 * ATR35=55.03點, 回落: K=2 * ATR25=46.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,69.0,2.0,4.0,65.0,13000.0
2026-01-27 23:00:00,32563.0,LONG,2026-01-28 10:00:00,32706.0,"ATR移動停利(啟動: K=2 * ATR35=79.31點, 回落: K=2 * ATR25=76.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,143.0,2.0,4.0,139.0,27800.0
2026-01-28 10:15:00,32726.0,LONG,2026-01-28 21:30:00,33058.0,"ATR移動停利(啟動: K=2 * ATR35=74.17點, 回落: K=2 * ATR25=63.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,332.0,2.0,4.0,328.0,65600.0
2026-01-29 03:15:00,32975.0,LONG,2026-01-29 09:15:00,32967.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-8.0,2.0,4.0,-12.0,-2400.0
2026-01-29 13:00:00,32764.0,SHORT,2026-01-29 15:15:00,32758.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,6.0,2.0,4.0,2.0,400.0
2026-01-29 15:30:00,32731.0,SHORT,2026-01-29 22:00:00,32682.0,"ATR移動停利(啟動: K=2 * ATR35=96.29點, 回落: K=2 * ATR25=84.00點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,49.0,2.0,4.0,45.0,9000.0
2026-01-29 22:30:00,32629.0,SHORT,2026-01-30 01:30:00,32264.0,"ATR移動停利(啟動: K=2 * ATR35=144.29點, 回落: K=2 * ATR25=168.00點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,365.0,2.0,4.0,361.0,72200.0
2026-01-30 02:15:00,32245.0,SHORT,2026-01-30 09:15:00,32516.0,"ATR停損(K=3.0, ATR=10, 門檻=170.10點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-271.0,2.0,4.0,-275.0,-55000.0
2026-01-30 09:45:00,32342.0,SHORT,2026-01-30 11:15:00,32359.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-17.0,2.0,4.0,-21.0,-4200.0
2026-01-30 12:00:00,32291.0,SHORT,2026-01-30 19:45:00,32048.0,"ATR移動停利(啟動: K=2 * ATR35=180.34點, 回落: K=2 * ATR25=158.08點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,243.0,2.0,4.0,239.0,47800.0
